Clave,Nombre,Nivel,Institucion,Programa,Inicio,Fin,Semestre,Semestre letras,Horas,Horas por semana,Comentario
0,Arquitectura de Computadoras,Maestría,CIDETEC-IPN,,2016/02/01,2016/06/10,,,72,,
0,Visión Artificial,Maestría,CIDETEC-IPN,,2016/08/08,2016/12/21,,,72,,
0,Seminario departamental I,Maestría,CIDETEC-IPN,,2017/01/01,2017/06/01,,,36,,
0,Seminario departamental II,Maestría,CIDETEC-IPN,,2017/01/01,2017/06/01,,,36,,
0,Temas Selectos en Tecnología de Cómputo,Maestría,CIDETEC-IPN,,2017/01/01,2017/06/01,,,72,,
0,Visión Artificial,Maestría,CIDETEC-IPN,,2017/01/01,2017/06/01,,,72,,
0,Visión 3D,Maestría,CIDETEC-IPN,,2017/08/01,2017/12/01,,,72,,
0,Seminario departamental II,Maestría,CIDETEC-IPN,,2017/08/01,2017/12/01,,,36,,
0,Seminario departamental III,Maestría,CIDETEC-IPN,,2017/08/01,2017/12/01,,,36,,
0,Seminario departamental II,Maestría,CIDETEC-IPN,,2018/01/01,2018/06/01,,,36,,ok
0,Seminario departamental III,Maestría,CIDETEC-IPN,,2018/01/01,2018/06/01,,,36,,ok
0,Temas Selectos en Tecnología de Cómputo,Maestría,CIDETEC-IPN,,2018/01/01,2018/06/01,,,72,,ok
0,Seminario departamental III,Maestría,CIDETEC-IPN,,2018/08/01,2018/12/01,,,36,,ok
0,Visión Artificial,Maestría,CIDETEC-IPN,,2018/08/01,2018/12/01,,,72,,ok
0,Temas Selectos en Tecnología de Cómputo,Maestría,CIDETEC-IPN,,2018/08/01,2018/12/01,,,72,,ok
0,Visión Artificial,Maestría,CIDETEC-IPN,,2019/01/01,2019/06/01,19A,,72,,ok
0,Temas Selectos en Tecnología de Cómputo,Maestría,CIDETEC-IPN,,2019/01/01,2019/06/01,19A,,72,,ok
0,Seminario de Tesis I,Doctorado,CIDETEC-IPN,,2019/08/05,2019/12/06,19B,,36,,ok
0,Robótica móvil,Doctorado,CIDETEC-IPN,,2019/08/05,2019/12/06,19B,,72,,ok
1289,Visión Artificial,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2020/01/20,2020/06/05,20A,,72,4,ok
DI-167,Robótica móvil,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2020/01/20,2020/06/05,20A,,72,4,ok
DI-168,Seminario de Tesis I,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2020/01/20,2020/06/05,20A,,36,2,ok
DI-172,Seminario de tesis II. Gestión y administración de proyectos de desarrollo tecnológico e innovación y protección de derechos intelectuales,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2020/01/20,2020/06/05,20A,,36,2,ok
DI-194,Algoritmos inteligentes,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,20B,,72,4,
DI-196,Seminario de tesis II. Gestión y administración de proyectos de desarrollo tecnológico e innovación y protección de derechos intelectuales,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,20B,,36,2,
DI-199,Seminario de tesis III. Examen predoctoral,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,20B,,36,2,
1345,Visión artificial,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,,,20B,,72,4,
1401,Visión 3D,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2021/02/22,2021/06/29,21A,,72,4,
DI-209,Robótica móvil,Doctorado,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2021/02/22,2021/06/29,21A,,72,4,
DI-210,Seminario de tesis II. Gestión y administración de proyectos de desarrollo tecnológico e innovación y protección de derechos intelectuales,Doctorado,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2021/02/22,2021/06/29,21A,,36,2,
DI-219,Seminario de tesis III. Examen predoctoral,Doctorado,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2021/02/22,2021/06/29,21A,,36,2,
DI-221 ,Seminario de tesis IV,Doctorado,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2021/02/22,2021/06/29,21A,,36,2,
DI-234,Seminario de tesis III. Examen predoctoral,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,21B,,36,2,
DI-235,Seminario de tesis IV,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,21B,,36,2,
DI-236,Robótica móvil,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,21B,,72,4,
1459,Seminario departamental I,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,,,21B,,36,2,
1460,Visión artificial,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,,,21B,,72,4,
1517,Visión artificial,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2022/01/31,2022/06/23,22A,,72,4,
1518,Visión 3D,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2022/01/31,2022/06/23,22A,,72,4,
1519,Seminiario departamental II,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,2022/01/31,2022/06/23,22A,,36,2,
DI-245,Seminario de tesis IV,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,2022/01/31,2022/06/23,22A,,36,2,
